date,smb,hml
05/05/2010,-0.007400,-0.005900
06/05/2010,-0.002700,-0.009000
07/05/2010,-0.013000,-0.005000
10/05/2010,0.009500,0.012100
11/05/2010,0.011500,-0.001400
12/05/2010,0.014700,0.001500
13/05/2010,0.003200,-0.003200
14/05/2010,-0.002500,-0.007600
17/05/2010,0.000700,-0.005900
18/05/2010,-0.002300,-0.009600
19/05/2010,-0.009600,0.000300
20/05/2010,-0.009000,-0.011900
21/05/2010,-0.004600,0.015800
24/05/2010,0.003000,-0.008900
25/05/2010,-0.004800,0.005600
26/05/2010,0.008300,0.004000
27/05/2010,0.006300,0.016100
28/05/2010,0.001000,-0.006800
01/06/2010,-0.010200,-0.016300
02/06/2010,0.001800,0.004100
03/06/2010,0.007200,-0.002800
04/06/2010,-0.012200,-0.006700
07/06/2010,-0.010900,-0.010100
08/06/2010,-0.014200,0.001100
09/06/2010,0.007500,-0.002000
10/06/2010,0.003800,0.008700
11/06/2010,0.009500,0.000500
14/06/2010,0.006500,-0.000100
15/06/2010,0.000700,0.008900
16/06/2010,-0.001900,-0.003100
17/06/2010,-0.001400,-0.004900
18/06/2010,-0.000300,0.002400
21/06/2010,-0.005500,-0.000200
22/06/2010,-0.003400,-0.007400
23/06/2010,-0.000400,0.002200
24/06/2010,0.001400,-0.009000
25/06/2010,0.010300,0.010700
28/06/2010,-0.000200,-0.007700
29/06/2010,-0.006400,-0.012900
30/06/2010,0.000500,-0.003400
01/07/2010,-0.003100,-0.004300
02/07/2010,-0.003000,-0.004400
06/07/2010,-0.019900,0.001100
07/07/2010,0.000500,0.004300
08/07/2010,0.005800,0.000000
09/07/2010,0.006700,0.006100
12/07/2010,-0.011800,0.001100
13/07/2010,0.016100,0.006300
14/07/2010,-0.001500,-0.008100
15/07/2010,-0.008800,-0.001300
16/07/2010,-0.005500,-0.009300
19/07/2010,-0.001600,-0.002000
20/07/2010,0.006600,0.000500
21/07/2010,-0.003900,-0.004400
22/07/2010,0.012400,0.005800
23/07/2010,0.014500,-0.003100
26/07/2010,0.008800,0.001500
27/07/2010,-0.003300,0.003500
28/07/2010,-0.008800,0.000400
29/07/2010,0.003000,0.006400
30/07/2010,0.000500,-0.002100
02/08/2010,-0.005500,0.001300
03/08/2010,-0.003800,-0.005000
04/08/2010,0.004500,-0.001000
05/08/2010,-0.008600,0.001400
06/08/2010,-0.001600,-0.003700
09/08/2010,0.006200,0.000800
10/08/2010,-0.012300,-0.002300
11/08/2010,-0.010800,-0.006400
12/08/2010,-0.000600,-0.000600
13/08/2010,-0.007900,0.002400
16/08/2010,0.009300,-0.001800
17/08/2010,0.005800,-0.002600
18/08/2010,0.000700,0.000800
19/08/2010,-0.008300,-0.004100
20/08/2010,0.002800,-0.002200
23/08/2010,-0.009400,-0.004100
24/08/2010,0.001400,0.001600
25/08/2010,0.010500,0.000000
26/08/2010,-0.000700,-0.002500
27/08/2010,0.009500,0.003700
30/08/2010,-0.008500,-0.004200
31/08/2010,-0.002600,0.008100
01/09/2010,0.006300,0.004700
02/09/2010,0.002600,-0.003600
03/09/2010,0.003500,0.002200
07/09/2010,-0.007900,-0.007700
08/09/2010,0.000400,0.001700
09/09/2010,-0.005000,0.005600
10/09/2010,-0.000900,-0.001600
13/09/2010,0.011300,0.002300
14/09/2010,-0.002300,-0.005200
15/09/2010,0.001100,-0.001800
16/09/2010,-0.005200,-0.006700
17/09/2010,0.006200,-0.006000
20/09/2010,0.011400,0.002300
21/09/2010,-0.002800,-0.003000
22/09/2010,-0.005600,-0.006000
23/09/2010,-0.000600,-0.006900
24/09/2010,0.009900,0.005100
27/09/2010,0.002000,-0.004900
28/09/2010,0.005200,0.001000
29/09/2010,0.006600,-0.002500
30/09/2010,0.000500,0.002900
01/10/2010,-0.000600,0.002100
04/10/2010,-0.007100,-0.000400
05/10/2010,0.007800,0.001600
06/10/2010,-0.003800,0.004600
07/10/2010,0.000500,-0.002900
08/10/2010,0.009600,-0.001900
11/10/2010,0.000500,-0.002000
12/10/2010,-0.000600,0.002400
13/10/2010,0.009000,-0.003400
14/10/2010,0.004200,-0.003900
15/10/2010,-0.000700,-0.012900
18/10/2010,0.000600,0.009100
19/10/2010,-0.007000,0.002600
20/10/2010,0.000600,0.000900
21/10/2010,-0.005200,-0.005000
22/10/2010,0.004500,-0.004200
25/10/2010,0.004900,-0.005200
26/10/2010,-0.000100,-0.001800
27/10/2010,-0.001900,-0.002400
28/10/2010,-0.006200,-0.000800
29/10/2010,0.003500,-0.001200
01/11/2010,-0.006400,-0.002100
02/11/2010,0.013500,-0.002200
03/11/2010,-0.000700,0.002000
04/11/2010,0.004700,0.010600
05/11/2010,-0.001100,0.006400
08/11/2010,0.004500,-0.004900
09/11/2010,-0.004000,-0.004700
10/11/2010,0.005600,0.005800
11/11/2010,-0.000700,-0.001500
12/11/2010,-0.004800,-0.000500
15/11/2010,0.001900,0.003200
16/11/2010,-0.003400,-0.001000
17/11/2010,0.003600,-0.002900
18/11/2010,0.003200,-0.003100
19/11/2010,0.002000,-0.002200
22/11/2010,0.006100,-0.009600
23/11/2010,0.004900,-0.002800
24/11/2010,0.006700,0.000400
26/11/2010,0.003000,-0.003600
29/11/2010,0.000000,0.004200
30/11/2010,-0.002000,0.000200
01/12/2010,-0.000800,0.000100
02/12/2010,-0.003200,0.006400
03/12/2010,0.004000,0.000700
06/12/2010,0.007600,-0.000500
07/12/2010,0.003500,0.000500
08/12/2010,-0.005400,0.006800
09/12/2010,-0.000300,0.006200
10/12/2010,0.004400,0.002300
13/12/2010,-0.005800,0.000500
14/12/2010,-0.000400,-0.001200
15/12/2010,0.002100,-0.005500
16/12/2010,0.004300,-0.001300
17/12/2010,0.001600,-0.001700
20/12/2010,-0.000100,0.003100
21/12/2010,0.003500,0.007500
22/12/2010,-0.003800,0.008200
23/12/2010,0.001000,-0.003100
27/12/2010,0.002100,0.004700
28/12/2010,-0.004300,0.001700
29/12/2010,0.001200,-0.001500
30/12/2010,0.001400,-0.000500
31/12/2010,-0.006400,0.002300
03/01/2011,0.005000,0.007700
04/01/2011,-0.013800,0.000700
05/01/2011,0.005900,0.001300
06/01/2011,-0.000700,-0.003400
07/01/2011,-0.002500,-0.002700
10/01/2011,0.005300,-0.001600
11/01/2011,0.001200,0.001800
12/01/2011,-0.000700,0.002700
13/01/2011,0.001400,-0.003500
14/01/2011,0.000200,0.005900
18/01/2011,0.000900,-0.005100
19/01/2011,-0.013600,-0.005300
20/01/2011,-0.010400,0.007000
21/01/2011,-0.009000,0.005900
24/01/2011,0.003000,-0.002800
25/01/2011,0.000100,0.001200
26/01/2011,0.013900,-0.002300
27/01/2011,-0.001000,0.003500
